size smiles gsk3b sa qed sa max_or_val 
32 COc1ccc2cc(-c3[nH]c(-c4ccc([S@@](C)=O)cc4)nc3-c3ccncc3)ccc2c1 0.69 0.7826677916277739 0.38112694400119873 0.7826677916277739 1
32 COc1ccc2cc(-c3[nH]c(-c4ccc([S@@](C)=O)cc4)nc3-c3ccncc3)ccc2c1 0.69 0.7826677916277739 0.38112694400119873 0.7826677916277739 0
19 c1ccc(Nc2nccc(-c3ccccc3)n2)cc1 0.95 0.9343604637649321 0.7626630429862935 0.9343604637649321 1
26 CCCc1cnc(Nc2ccnc(Nc3ccc4[nH]ccc4c3)n2)cn1 0.72 0.8201775203737236 0.4852800780256002 0.8201775203737236 0
26 c1ccc(Nc2nccc(Nc3cccc(-c4ccccc4)c3)n2)cc1 0.81 0.9042432059701784 0.4949204165630491 0.9042432059701784 0
34 Cn1ccc2cc(Nc3nccc(Nc4cccc(Nc5ccccc5C(=O)O)n4)n3)ccc21 0.75 0.8229248669646532 0.26361680803163223 0.8229248669646532 0
23 Clc1cccc(-c2ccnc(Nc3cccc4[nH]ncc34)n2)c1 0.81 0.8656362293478043 0.5860169933299852 0.8656362293478043 0
20 Cc1cccc(-c2ccnc(Nc3ccccc3)n2)c1 0.86 0.9200973467962869 0.7676130952652013 0.9200973467962869 0
29 O=C(O)c1ccc(-c2ccnc(Nc3cccc(-c4ccccc4F)c3)n2)cc1 0.79 0.8891728231276783 0.4816179122450361 0.8891728231276783 0
21 Fc1ccc(-c2ccnc(Nc3ccc(Cl)cc3)n2)cc1 0.89 0.9165689798230754 0.7628118862403356 0.9165689798230754 0
27 Clc1ccc(Nc2nccc(Nc3cc(-c4ccc(Cl)cc4)n[nH]3)n2)cc1 0.77 0.8451751203280702 0.40502273467392363 0.8451751203280702 0
20 Clc1cccc(-c2ccnc(Nc3ccccc3)n2)c1 0.94 0.9182086896906806 0.7657023045039479 0.9182086896906806 0
19 c1ccc(Nc2nccc(-c3ccccc3)n2)cc1 0.95 0.9343604637649321 0.7626630429862935 0.9343604637649321 0
21 Cc1cccc(Nc2ccnc(Nc3ccccc3)n2)c1 0.8 0.9065497714270295 0.7467288620385109 0.9065497714270295 0
30 Clc1ccc(-c2cncc(Nc3ccnc(Nc4cccc5[nH]ncc45)n3)c2)cc1 0.62 0.8350991399329603 0.34933824057447577 0.8350991399329603 0
23 O=C(O)c1ccnc(Nc2ccnc(Nc3ccccc3)n2)c1 0.74 0.8772720063451706 0.6656925605816206 0.8772720063451706 0
31 COc1ccccc1-c1cncc(Nc2ccnc(Nc3ccc4[nH]ccc4c3)n2)c1 0.68 0.8356904469055679 0.3430628201394413 0.8356904469055679 0
30 Oc1ccc(-c2cncc(Nc3ccnc(Nc4cccc5[nH]ccc45)n3)c2)cc1 0.66 0.8340023378586301 0.3264764840805241 0.8340023378586301 0
29 c1ccc(-c2cncc(Nc3ccnc(Nc4ccc5nc[nH]c5c4)n3)c2)cc1 0.63 0.8407241746497193 0.402166209560966 0.8407241746497193 0
