size smiles jnk3 sa qed sa max_or_val 
30 C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4ccccc4c3)[nH]2)cc1 0.36 0.7515447764335074 0.41437817263072285 0.7515447764335074 1
19 c1ccc(Nc2nccc(-c3ccccc3)n2)cc1 0.55 0.9256899744216524 0.7626630429862935 0.9256899744216524 1
21 Cc1cc(-c2ccnc(Nc3ccccc3)n2)ccc1F 0.55 0.895625048451275 0.7748624230735236 0.895625048451275 0
22 c1ccc(-c2ccnc(Nc3ccc4[nH]ccc4c3)n2)cc1 0.51 0.8744543060658528 0.5877632623255664 0.8744543060658528 0
22 c1ccc(-c2ccnc(Nc3ccc4nc[nH]c4c3)n2)cc1 0.51 0.8675671265786734 0.6017612701504051 0.8675671265786734 0
19 c1ccc(Nc2nccc(-c3ccccc3)n2)cc1 0.55 0.9256899744216524 0.7626630429862935 0.9256899744216524 0
31 N#Cc1ccc(-c2ccc(Nc3nccc(-c4ccc5ccccc5c4)n3)cc2)cc1 0.54 0.8631986514854925 0.3713848048062972 0.8631986514854925 0
39 CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12 0.57 0.7552846091977309 0.2719958064401144 0.7552846091977309 1
39 CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12 0.57 0.7552846091977309 0.2719958064401144 0.7552846091977309 0
43 CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 0.57 0.4449451400113509 0.28721839165619395 0.4449451400113509 1
26 CC1(C)Cc2cnc(Nc3ccc(Cl)cc3)nc2-c2[nH]nc(C(N)=O)c21 0.44 0.7811292140731511 0.6572135641745755 0.7811292140731511 1
27 COc1cc2ncnc(Nc3ccc(-c4ccccc4)cc3)c2cc1OC 0.53 0.8876308865769581 0.5410779165019278 0.8876308865769581 1
21 COc1cc2ncnc(Nc3ccccc3)c2cc1OC 0.45 0.8999622489556882 0.7940400286227499 0.8999622489556882 1
23 COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1 0.52 0.8925156604177855 0.7788137840520667 0.8925156604177855 1
27 COc1cc2ncnc(Nc3ccc(-c4ccccc4)cc3)c2cc1OC 0.53 0.8876308865769581 0.5410779165019278 0.8876308865769581 0
23 COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1 0.52 0.8925156604177855 0.7788137840520667 0.8925156604177855 0
27 COc1cc2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2cc1O 0.52 0.8698100491865003 0.5288037611325438 0.8698100491865003 1
31 COc1cc2c(Nc3ccc(OCc4ccccc4)cc3)ncnc2cc1OC(C)C 0.52 0.8618054890923299 0.39534349732649715 0.8618054890923299 1
26 COc1cc2c(Nc3ccc(-c4ccccc4)cc3)ncnc2cc1F 0.51 0.8815973051385385 0.5529429177943349 0.8815973051385385 1
27 COc1cc2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2cc1O 0.52 0.8698100491865003 0.5288037611325438 0.8698100491865003 0
31 COc1cc2c(Nc3ccc(OCc4ccccc4)cc3)ncnc2cc1OC(C)C 0.52 0.8618054890923299 0.39534349732649715 0.8618054890923299 0
26 COc1cc2c(Nc3ccc(-c4ccccc4)cc3)ncnc2cc1F 0.51 0.8815973051385385 0.5529429177943349 0.8815973051385385 0
22 COc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1F 0.57 0.8579848931870647 0.9342833255930619 0.8579848931870647 1
28 Cc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1-c1cccc(C#N)c1 0.61 0.842924368237182 0.749618985557177 0.842924368237182 1
28 Cc1cnc(Nc2ccc(Cl)cc2)nc1Oc1cccc(N2CCOCC2)c1 0.59 0.8456979142034107 0.6673450735223297 0.8456979142034107 1
30 COc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2Cl)c1 0.61 0.8428250125520902 0.6264438751532351 0.8428250125520902 1
32 Fc1ccccc1-c1cccc(Oc2nc(Nc3ccc(N4CCC4)cc3)ncc2Cl)c1 0.58 0.8407412024751378 0.35761616524834394 0.8407412024751378 0
30 COc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2Cl)c1 0.61 0.8428250125520902 0.6264438751532351 0.8428250125520902 0
22 COc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1F 0.57 0.8579848931870647 0.9342833255930619 0.8579848931870647 0
29 Clc1ccc(Cl)c(Oc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2Cl)c1 0.58 0.8337413682171945 0.5281252697297727 0.8337413682171945 0
31 Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1Oc1cccc(C(=O)O)c1 0.6 0.8379467068009634 0.6240024465644973 0.8379467068009634 0
28 Cc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1-c1cccc(C#N)c1 0.61 0.842924368237182 0.749618985557177 0.842924368237182 0
29 Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1-c1cccc(C#N)c1 0.6 0.8414657271915534 0.7375441580172274 0.8414657271915534 0
32 Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1Oc1cccc(N2CCC2)c1 0.61 0.830372137131879 0.6262525941259902 0.830372137131879 0
28 Cc1cnc(Nc2ccc(Cl)cc2)nc1Oc1cccc(N2CCOCC2)c1 0.59 0.8456979142034107 0.6673450735223297 0.8456979142034107 0
24 CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21 0.52 0.8578744815787369 0.5984951375617662 0.8578744815787369 1
24 CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21 0.52 0.8578744815787369 0.5984951375617662 0.8578744815787369 0
23 COc1ccc(-c2cnc3c(-c4ccccc4)cnn3c2)cc1 0.49 0.8792980956296326 0.5723518966867642 0.8792980956296326 1
23 COc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1 0.57 0.8574693625979584 0.5812888866669049 0.8574693625979584 1
23 COc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1 0.57 0.8574693625979584 0.5812888866669049 0.8574693625979584 0
27 CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@H]3CCCC[C@H]3N)nc21 0.49 0.6991282935783353 0.615773915242391 0.6991282935783353 1
26 Cc1cnc(Nc2ccc(N3CCC3)cc2)nc1Nc1ccc(Cl)cc1 0.51 0.8706878287552728 0.6555675907187043 0.8706878287552728 1
18 NC(=O)c1cnc(Nc2ccc(Cl)cc2)nc1N 0.49 0.8767955500386848 0.7788222390271322 0.8767955500386848 1
26 O=C(Nc1ccccc1)c1ccc(Nc2nccc(NC3CC3)n2)cc1 0.31 0.8829610703207247 0.6280933715000887 0.8829610703207247 1
26 Cc1cnc(Nc2ccc(N3CCC3)cc2)nc1Nc1ccc(Cl)cc1 0.51 0.8706878287552728 0.6555675907187043 0.8706878287552728 0
28 CS(=O)(=O)Nc1nccnc1CNc1nc(Nc2ccc(F)cc2)ncc1Cl 0.46 0.8034877401230914 0.5299177208893263 0.8034877401230914 1
29 COc1ccc(Nc2ncc(F)c(NCc3nccnc3NS(C)(=O)=O)n2)cc1 0.43 0.8060871870325254 0.5023651531743212 0.8060871870325254 1
32 COCC(=O)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(Cl)c(Nc4ccc(Cl)cc4)n3)cc12 0.47 0.5723099213922399 0.48594868979904926 0.5723099213922399 1
34 O=C(Cc1cccc(F)c1)N1[C@@H]2CC[C@H]1c1ccc(Nc3nccc(-c4ccccc4)n3)cc12 0.35 0.5879897025926426 0.40594552931968914 0.5879897025926426 1
35 O=C(c1ccccc1)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(Cl)c(Nc4ccc(Cl)cc4)n3)cc12 0.45 0.58363973791635 0.299705048558487 0.58363973791635 1
37 CC(C)CN1C(=O)C(C)(C)Oc2ccc(Nc3nc(Nc4ccc(N5CCCC5)cc4)ncc3F)nc21 0.45 0.7700315673352003 0.4491506072024619 0.7700315673352003 1
36 CC1(C)Oc2ccc(Nc3nc(Nc4ccc(Cl)cc4)ncc3F)nc2N(Cc2ccccc2)C1=O 0.36 0.7947949909977898 0.33972847860546185 0.7947949909977898 1
34 COc1ccc(Nc2ncc(F)c(Nc3ccc4c(n3)N(CC(C)C)C(=O)C(C)(C)O4)n2)cc1 0.42 0.782404500317507 0.518216624469943 0.782404500317507 1
