size smiles gsk3b jnk3 qed sa qed sa max_or_val 
30 C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4ccccc4c3)[nH]2)cc1 0.35 0.36 0.41437817263072285 0.7515447764335074 0.41437817263072285 0.7515447764335074 1
19 c1ccc(Nc2nccc(-c3ccccc3)n2)cc1 0.8 0.55 0.7626630429862935 0.9256899744216524 0.7626630429862935 0.9256899744216524 1
19 c1ccc(Nc2nccc(-c3ccncc3)n2)cc1 0.77 0.49 0.7723916492842496 0.8996486788750937 0.7723916492842496 0.8996486788750937 1
23 N#Cc1ccc(Nc2nccc(-c3cccc(C#N)c3)n2)cc1 0.69 0.67 0.7974363248997642 0.8638803405138089 0.7974363248997642 0.8638803405138089 1
21 N#Cc1ccc(-c2ccnc(Nc3ccccc3)n2)cc1 0.74 0.53 0.7882008929093238 0.8954961911108364 0.7882008929093238 0.8954961911108364 1
20 Cc1ccc(-c2ccnc(Nc3ccccc3)n2)cn1 0.72 0.55 0.7833048986491562 0.8903336668001914 0.7833048986491562 0.8903336668001914 1
19 c1ccc(Nc2nccc(-c3ccccc3)n2)cc1 0.8 0.55 0.7626630429862935 0.9256899744216524 0.7626630429862935 0.9256899744216524 0
21 N#Cc1ccc(-c2ccnc(Nc3ccccc3)n2)cc1 0.74 0.53 0.7882008929093238 0.8954961911108364 0.7882008929093238 0.8954961911108364 0
23 N#Cc1ccc(Nc2nccc(-c3cccc(C#N)c3)n2)cc1 0.69 0.67 0.7974363248997642 0.8638803405138089 0.7974363248997642 0.8638803405138089 0
20 Cc1ccc(-c2ccnc(Nc3ccccc3)n2)cn1 0.72 0.55 0.7833048986491562 0.8903336668001914 0.7833048986491562 0.8903336668001914 0
39 CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12 0.28 0.57 0.2719958064401144 0.7552846091977309 0.2719958064401144 0.7552846091977309 1
43 CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 0.32 0.57 0.28721839165619395 0.4449451400113509 0.28721839165619395 0.4449451400113509 1
33 CN1CCN(c2ccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)C(C)(C)C4)cc2)CC1 0.44 0.39 0.6335110413125171 0.7695425063262944 0.6335110413125171 0.7695425063262944 1
23 COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1 0.53 0.52 0.7788137840520667 0.8925156604177855 0.7788137840520667 0.8925156604177855 1
22 COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OC 0.51 0.52 0.7983836473287707 0.8913438942554409 0.7983836473287707 0.8913438942554409 1
21 COc1cc2ncnc(Nc3ccccc3)c2cc1OC 0.59 0.45 0.7940400286227499 0.8999622489556882 0.7940400286227499 0.8999622489556882 1
22 COc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OC 0.63 0.51 0.7869935859921958 0.8919744192859661 0.7869935859921958 0.8919744192859661 1
22 COc1cc2ncnc(Nc3ccc(C)cc3)c2cc1OC 0.45 0.32 0.7950475618939019 0.8936972520087987 0.7950475618939019 0.8936972520087987 1
23 COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1 0.53 0.52 0.7788137840520667 0.8925156604177855 0.7788137840520667 0.8925156604177855 0
22 COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OC 0.51 0.52 0.7983836473287707 0.8913438942554409 0.7983836473287707 0.8913438942554409 0
22 COc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OC 0.63 0.51 0.7869935859921958 0.8919744192859661 0.7869935859921958 0.8919744192859661 0
28 COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC 0.64 0.6 0.5021188289272573 0.8802718354041611 0.5021188289272573 0.8802718354041611 1
30 COc1cc2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2cc1OC(F)F 0.53 0.61 0.4176755700581213 0.8544149329764935 0.4176755700581213 0.8544149329764935 1
21 COc1cc2c(Nc3ccc(Cl)cc3)ncnc2cc1F 0.62 0.49 0.7884417662414381 0.8823102523184458 0.7884417662414381 0.8823102523184458 1
22 COc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OC 0.63 0.51 0.7869935859921958 0.8919744192859661 0.7869935859921958 0.8919744192859661 1
22 COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OC 0.51 0.52 0.7983836473287707 0.8913438942554409 0.7983836473287707 0.8913438942554409 1
28 COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC 0.64 0.6 0.5021188289272573 0.8802718354041611 0.5021188289272573 0.8802718354041611 0
22 COc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OC 0.63 0.51 0.7869935859921958 0.8919744192859661 0.7869935859921958 0.8919744192859661 0
22 COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OC 0.51 0.52 0.7983836473287707 0.8913438942554409 0.7983836473287707 0.8913438942554409 0
31 CN1CCN(c2ccc(Nc3ncc(Cl)c(Oc4cccc(C(=O)O)c4)n3)cc2)CC1 0.47 0.58 0.592440972134049 0.8368912184690706 0.592440972134049 0.8368912184690706 1
23 COc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1F 0.58 0.56 0.9321009746430188 0.8577161266182518 0.9321009746430188 0.8577161266182518 1
29 CN1CCN(c2ccc(Nc3ncc(Cl)c(Oc4cccc(O)c4)n3)cc2)CC1 0.52 0.54 0.6535860238371934 0.8354122473380736 0.6535860238371934 0.8354122473380736 0
29 CN1CCN(c2ccc(Nc3ncc(Cl)c(Oc4ccccc4Cl)n3)cc2)CC1 0.53 0.54 0.6101220553074294 0.8439975953234214 0.6101220553074294 0.8439975953234214 0
29 CN1CCN(c2ccc(Nc3ncc(Cl)c(Oc4ccccc4F)n3)cc2)CC1 0.54 0.53 0.6615313610314815 0.843072686898513 0.6615313610314815 0.843072686898513 0
23 COc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1F 0.58 0.56 0.9321009746430188 0.8577161266182518 0.9321009746430188 0.8577161266182518 0
24 CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21 0.44 0.52 0.5984951375617662 0.8578744815787369 0.5984951375617662 0.8578744815787369 1
22 Fc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1 0.43 0.39 0.5662956496790555 0.8548340980687217 0.5662956496790555 0.8548340980687217 1
23 COc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1 0.36 0.57 0.5812888866669049 0.8574693625979584 0.5812888866669049 0.8574693625979584 1
22 Nc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1 0.4 0.46 0.5752695641500895 0.844351967891207 0.5752695641500895 0.844351967891207 1
23 CNc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1 0.46 0.47 0.6290225120729661 0.8414727562631169 0.6290225120729661 0.8414727562631169 1
27 CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@H]3N)nc21 0.37 0.49 0.615773915242391 0.6991282935783353 0.615773915242391 0.6991282935783353 1
18 Clc1cnc(Nc2ccccc2)nc1NC1CC1 0.78 0.46 0.8840999065348907 0.882219692050519 0.8840999065348907 0.882219692050519 1
17 CNc1nc(Nc2ccc(Br)cc2)ncc1F 0.66 0.48 0.9133843359208358 0.8695307805409173 0.9133843359208358 0.8695307805409173 1
25 CNc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1C(N)=O 0.71 0.47 0.7490349165233241 0.8495413712303781 0.7490349165233241 0.8495413712303781 1
25 CNc1nc(Nc2ccc(N3CCN(C(C)=O)CC3)cc2)ncc1F 0.71 0.45 0.8845699873921359 0.8517457049248526 0.8845699873921359 0.8517457049248526 1
20 COc1ccccc1Nc1ncc(Cl)c(NC2CC2)n1 0.67 0.52 0.8829886289125645 0.8712925588151046 0.8829886289125645 0.8712925588151046 1
19 Clc1ccccc1Nc1ncc(Cl)c(NC2CC2)n1 0.69 0.55 0.8912008668364134 0.8679377477010044 0.8912008668364134 0.8679377477010044 1
25 CN1CCN(c2ccc(Nc3ncc(Cl)c(NC4CC4)n3)cc2)CC1 0.62 0.53 0.8556397203571687 0.8514818009884135 0.8556397203571687 0.8514818009884135 0
20 COc1ccccc1Nc1ncc(Cl)c(NC2CC2)n1 0.67 0.52 0.8829886289125645 0.8712925588151046 0.8829886289125645 0.8712925588151046 0
19 Clc1ccccc1Nc1ncc(Cl)c(NC2CC2)n1 0.69 0.55 0.8912008668364134 0.8679377477010044 0.8912008668364134 0.8679377477010044 0
29 CN(c1nccnc1CNc1nc(Nc2ccc(Br)cc2)ncc1F)S(C)(=O)=O 0.57 0.37 0.5288693678108294 0.7951579534837795 0.5288693678108294 0.7951579534837795 1
31 CN(c1nccnc1CNc1nc(Nc2ccc(C(=O)O)cc2)ncc1F)S(C)(=O)=O 0.56 0.36 0.4666314406146249 0.7959991881581221 0.4666314406146249 0.7959991881581221 1
34 CN(c1nccnc1CNc1nc(Nc2ccc(C(N)=O)cc2)ncc1C(F)(F)F)S(C)(=O)=O 0.61 0.38 0.4250584190505305 0.7786341394276894 0.4250584190505305 0.7786341394276894 1
27 CC(=O)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(Cl)c(NC4CCC4)n3)cc12 0.58 0.35 0.8083923253567337 0.566682503886759 0.8083923253567337 0.566682503886759 1
27 CC(=O)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(C#N)c(NC4CC4)n3)cc12 0.64 0.44 0.8677399663656138 0.5569020843063394 0.8677399663656138 0.5569020843063394 1
26 CC(=O)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(Cl)c(NC4CC4)n3)cc12 0.63 0.34 0.8452935145607191 0.5674726522872926 0.8452935145607191 0.5674726522872926 1
27 CNc1nc(Nc2ccc3c(c2)[C@H]2CC[C@@H]3N2C(C)=O)ncc1C(F)(F)F 0.63 0.38 0.8455744099169056 0.5569295661578213 0.8455744099169056 0.5569295661578213 1
34 COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC 0.63 0.28 0.4706880685636287 0.7731581845280332 0.4706880685636287 0.7731581845280332 1
32 CN(C)CN1C(=O)C(C)(C)Oc2ccc(Nc3ccnc(Nc4cccc(F)c4)n3)nc21 0.55 0.34 0.6049010710340393 0.771219459988234 0.6049010710340393 0.771219459988234 1
33 CN(C)CN1C(=O)C(C)(C)Oc2ccc(Nc3nc(Nc4cccc(Br)c4)ncc3F)nc21 0.55 0.33 0.5015740058138922 0.76181866700526 0.5015740058138922 0.76181866700526 1
32 CN(C)CN1C(=O)C(C)(C)Oc2ccc(Nc3nc(Nc4ccccc4)ncc3F)nc21 0.51 0.35 0.6049010710340393 0.7759606565694308 0.6049010710340393 0.7759606565694308 1
32 CN1C(=O)C(C)(C)Oc2ccc(Nc3nc(Nc4cccc(C(N)=O)c4)ncc3F)nc21 0.51 0.37 0.5544605139104227 0.7788531140744726 0.5544605139104227 0.7788531140744726 1
37 CCC(=O)OCN1C(=O)C(C)(C)Oc2ccc(Nc3nc(Nc4ccc(OC)c(Cl)c4)ncc3F)nc21 0.53 0.4 0.39937246119107495 0.7586470458372808 0.39937246119107495 0.7586470458372808 1
18 O=C1NC(=O)/C(=C/c2cccc(C(F)(F)F)c2)S1 0.58 0.31 0.7998988095547487 0.8470452203683553 0.7998988095547487 0.8470452203683553 1
29 C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CCOC 0.37 0.44 0.4844899196003328 0.7846532283083228 0.4844899196003328 0.7846532283083228 1
22 CNc1nc2cnc(Nc3ccccc3F)nc2n1C1CC1 0.54 0.65 0.7744696942675657 0.8252095841211307 0.7744696942675657 0.8252095841211307 1
28 CNc1nc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1C(C)C 0.59 0.49 0.7048185075905833 0.807819677805662 0.7048185075905833 0.807819677805662 1
30 CC(C)Nc1nc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1C(C)C 0.57 0.53 0.6437551967853667 0.802947675474023 0.6437551967853667 0.802947675474023 1
23 Cc1nc2cnc(Nc3ccc(N(C)C)cc3)nc2n1C(C)C 0.53 0.5 0.7986559081544663 0.8288646114667367 0.7986559081544663 0.8288646114667367 1
22 COc1ccc(Nc2ncc3nc(C)n(C(C)C)c3n2)cc1 0.54 0.54 0.7985030154007814 0.8464551707925241 0.7985030154007814 0.8464551707925241 1
25 Cc1nc2cnc(Nc3ccc(C(=O)N(C)C)cc3)nc2n1C(C)C 0.56 0.51 0.7906231311644994 0.8298897720029063 0.7906231311644994 0.8298897720029063 1
22 CNc1nc2cnc(Nc3ccccc3F)nc2n1C1CC1 0.54 0.65 0.7744696942675657 0.8252095841211307 0.7744696942675657 0.8252095841211307 0
30 CC(C)Nc1nc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1C(C)C 0.57 0.53 0.6437551967853667 0.802947675474023 0.6437551967853667 0.802947675474023 0
25 Cc1nc2cnc(Nc3ccc(C(=O)N(C)C)cc3)nc2n1C(C)C 0.56 0.51 0.7906231311644994 0.8298897720029063 0.7906231311644994 0.8298897720029063 0
22 COc1ccc(Nc2ncc3nc(C)n(C(C)C)c3n2)cc1 0.54 0.54 0.7985030154007814 0.8464551707925241 0.7985030154007814 0.8464551707925241 0
24 Cn1cc(-c2ccnc(Nc3ccc(F)cc3)n2)c2ccncc21 0.62 0.43 0.6218031574518198 0.8405349179539561 0.6218031574518198 0.8405349179539561 1
24 Cn1cc(-c2ccnc(Nc3ccc(Cl)cc3)n2)c2ccncc21 0.63 0.5 0.6015429686867362 0.8411023904814287 0.6015429686867362 0.8411023904814287 1
37 C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1 0.74 0.29 0.37351787019809934 0.7569227028663359 0.37351787019809934 0.7569227028663359 1
21 Cc1ccc(F)cc1Nc1nccc(-c2cnccn2)n1 0.6 0.46 0.7987394150752449 0.854274480985953 0.7987394150752449 0.854274480985953 1
31 c1cn2cc(-c3ccc4c[nH]nc4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1 0.26 0.29 0.46738531794023797 0.7843945985491813 0.46738531794023797 0.7843945985491813 1
25 Fc1ccc2ncnc(Nc3ccc(Cc4ccccc4)cc3)c2c1 0.5 0.38 0.5656405533233826 0.8919198813764938 0.5656405533233826 0.8919198813764938 1
25 Fc1ccc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1 0.57 0.47 0.5507131509118377 0.892224039380652 0.5507131509118377 0.892224039380652 1
25 NCc1ccc2ncnc(Nc3ccc(-c4ccccc4)cc3)c2c1 0.54 0.38 0.5794286968059701 0.8862061599627725 0.5794286968059701 0.8862061599627725 1
25 Nc1ccc2ncnc(Nc3ccc(-c4ccc(F)cc4)cc3)c2c1 0.57 0.41 0.5315414342988314 0.8822533675497061 0.5315414342988314 0.8822533675497061 1
22 OCCOc1ccc(Nc2ncnc3ccc(O)cc23)cc1 0.5 0.35 0.6702542918570018 0.8747154220332187 0.6702542918570018 0.8747154220332187 1
24 Oc1ccc2ncnc(Nc3ccc(-c4ccccc4)cc3)c2c1 0.52 0.37 0.5730427469612739 0.8928833593716933 0.5730427469612739 0.8928833593716933 1
